GDP and main components (output, expenditure and income) [nama_10_gdp];;;;;;;;;;
;;;;;;;;;;
Last update;30.11.18;;;;;;;;;
Extracted on;02.12.18;;;;;;;;;
Source of data;Eurostat;;;;;;;;;
;;;;;;;;;;
UNIT;Chain linked volumes, index 2010=100;;;;;;;;;
NA_ITEM;Gross domestic product at market prices;;;;;;;;;
;;;;;;;;;;
GEO/TIME;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Norway;327.352,80;321.817,30;324.043,20;327.192,70;336.097,70;339.607,80;346.315,50;353.138,10;357.331,10;364.407,80
Switzerland;437.959,20;428.227,30;441.085,70;448.552,40;453.065,00;461.455,90;472.758,00;479.061,60;486.732,40;494.601,40
Montenegro;3.229,00;3.041,90;3.125,10;3.226,00;3.138,10;3.249,50;3.307,40;3.419,60;3.520,40;3.686,50
Former Yugoslav Republic of Macedonia, the;6.902,00;6.877,30;7.108,30;7.274,60;7.241,40;7.453,20;7.723,80;8.021,60;8.255,00;8.256,60
Albania;8.393,50;8.675,00;8.996,60;9.225,60;9.356,40;9.450,10;9.617,80;9.831,20;10.160,80;10.550,50
Serbia;30.545,10;29.593,30;29.766,30;30.183,40;29.877,00;30.645,40;30.084,20;30.312,10;31.160,00;31.741,90
Turkey;562.007,60;535.568,10;581.023,80;645.595,80;676.519,50;733.964,80;771.886,50;818.862,70;844.933,90;907.807,10
Bosnia and Herzegovina;13.254,80;12.856,80;12.968,90;13.093,30;12.985,70;13.290,80;13.443,50;13.857,20;14.292,90;:
Kosovo (under United Nations Security Council Resolution 1244/99);4.113,00;4.261,00;4.402,00;4.594,60;4.723,70;4.886,30;4.946,00;5.148,50;5.358,00;5.584,50
;;;;;;;;;;
Special value:;;;;;;;;;;
:;not available;;;;;;;;;
